,Datetime,SA DPT,SA Temp,RA DPT,SA %RH,RA Temp,RA Humidity,Unit Status
0,2022-06-01 00:03:19,14.2,15.2,16.2,94.1,23.7,63.1,1
1,2022-06-01 00:20:29,16.5,20.7,18.8,77.3,28.2,57.6,0
2,2022-06-01 00:35:26,18.2,27.3,20.4,58.2,31.5,52.5,1
3,2022-06-01 00:50:25,16.7,20.7,20.7,78.5,25.5,75.0,1
4,2022-06-01 01:05:00,13.1,14.2,16.2,93.0,23.0,65.7,1
5,2022-06-01 01:35:13,15.4,16.4,16.1,93.8,22.9,66.6,1
6,2022-06-01 01:50:04,14.8,15.8,16.8,93.9,22.9,68.9,1
7,2022-06-01 02:05:22,13.6,14.7,16.5,93.6,23.0,67.6,1
8,2022-06-01 02:20:22,15.9,16.9,16.5,93.9,23.3,66.0,1
9,2022-06-01 02:37:16,13.5,14.6,15.0,93.0,23.6,59.4,1
10,2022-06-01 02:56:16,13.3,14.3,15.0,93.7,22.2,64.2,1
11,2022-06-01 03:16:00,13.2,14.7,18.9,91.2,30.2,51.5,0
12,2022-06-01 03:37:39,14.3,16.3,19.9,87.8,34.0,44.1,0
13,2022-06-01 03:57:34,16.1,17.8,18.8,90.4,35.9,37.4,0
14,2022-06-01 04:16:59,17.4,19.7,19.1,87.5,36.7,36.2,0
15,2022-06-01 04:38:12,18.3,21.3,19.6,82.9,36.8,36.8,0
16,2022-06-01 05:05:01,18.5,22.4,19.6,79.0,36.3,38.0,0
17,2022-06-01 05:30:31,18.9,23.4,19.8,75.8,36.0,39.2,0
18,2022-06-01 05:57:57,19.0,24.2,20.3,73.3,35.7,41.0,0
19,2022-06-01 06:23:56,19.3,25.0,20.8,71.4,35.4,43.0,0
20,2022-06-01 06:50:36,19.7,25.6,20.8,70.6,35.0,44.3,0
21,2022-06-01 07:19:02,20.1,26.1,21.3,70.3,34.3,47.2,0
22,2022-06-01 07:51:00,20.4,26.4,21.3,69.7,33.9,48.5,0
23,2022-06-01 08:23:49,20.5,26.7,21.6,69.0,33.5,50.4,0
24,2022-06-01 08:54:10,20.4,26.9,21.8,68.5,33.1,51.7,0
25,2022-06-01 09:24:14,21.3,26.6,22.0,73.4,32.9,53.6,0
26,2022-06-01 09:53:26,20.7,26.9,21.6,69.3,32.2,54.2,0
27,2022-06-01 10:23:12,20.6,27.1,21.5,68.0,32.4,53.3,0
28,2022-06-01 10:59:32,20.5,27.2,21.8,67.3,32.4,53.7,0
29,2022-06-01 11:37:19,20.5,27.2,21.8,67.0,32.1,54.9,0
30,2022-06-01 12:25:04,20.6,27.3,21.7,67.3,32.3,54.6,0
31,2022-06-01 12:40:35,20.6,27.3,21.8,67.3,32.4,53.7,0
32,2022-06-01 12:56:32,20.7,27.4,21.6,67.3,32.5,53.4,0
33,2022-06-01 13:11:31,20.7,27.4,21.6,67.0,32.5,53.5,0
34,2022-06-01 13:29:07,22.1,27.0,21.9,75.0,31.8,56.0,0
35,2022-06-01 15:34:09,21.3,22.4,20.7,94.4,26.0,72.8,0
36,2022-06-01 15:49:13,22.1,23.5,20.9,92.1,26.6,71.3,0
37,2022-06-01 16:05:28,21.7,24.2,21.0,86.5,26.8,70.9,0
38,2022-06-01 16:25:10,21.8,24.7,21.2,84.6,27.0,70.8,0
39,2022-06-01 16:39:10,21.9,25.0,21.3,83.6,27.1,70.9,0
40,2022-06-01 16:54:58,22.1,25.2,21.3,83.1,27.1,71.3,0
41,2022-06-01 17:09:43,22.1,25.5,21.6,82.3,27.1,71.9,0
42,2022-06-01 17:25:23,22.3,25.7,21.6,81.7,27.1,72.5,0
43,2022-06-01 17:42:40,22.3,25.9,21.7,80.9,27.0,72.9,0
44,2022-06-01 17:59:05,22.3,26.1,21.7,79.9,27.0,73.2,0
45,2022-06-01 18:16:56,22.3,26.3,21.6,79.0,26.9,73.4,0
46,2022-06-01 18:32:42,22.2,26.4,21.8,77.7,26.9,73.8,0
47,2022-06-01 18:52:06,22.2,26.6,21.7,77.1,26.8,74.6,0
